Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-12-24,52102.35713465073,52878.556123621325,52005.33226102941,52781.53125,11634677,0.0,0.0
2024-12-26,52878.551918143654,52975.576784048506,51908.30325909515,52005.328125,10517075,0.0,0.0
2024-12-27,52262.24041986732,52848.359004015365,51969.1811277933,52457.61328125,10747196,363.0,0.0
2024-12-30,52066.8700290766,52750.67507636278,51871.4971584234,51969.18359375,12624702,0.0,0.0
2025-01-02,51480.75351855103,52359.93147237827,51090.00776129447,52164.55859375,16630538,0.0,0.0
2025-01-03,51578.43887867647,53825.226935891544,51578.43887867647,53141.421875,19318046,0.0,0.0
2025-01-06,53141.425983899826,54899.78199072004,53043.73953907648,54606.72265625,19034284,0.0,0.0
2025-01-07,55485.89525045126,55974.32742695172,54118.28515625,54118.28515625,17030235,0.0,0.0
2025-01-08,53532.170947862134,56169.70491792103,53434.48450452662,55974.33203125,26593553,0.0,0.0
2025-01-09,56267.38636363636,56365.07279829545,54802.08984375,54802.08984375,24490592,0.0,0.0
2025-01-10,54802.09704876808,55192.84283877713,53922.91902124774,54020.60546875,16059223,0.0,0.0
2025-01-13,53336.79547423752,53727.54122862754,52848.36328125,52848.36328125,16868600,0.0,0.0
2025-01-14,52946.051513218925,53336.797280844155,52457.61930368738,52652.9921875,17465926,0.0,0.0
2025-01-15,52848.359004015365,53434.47758816341,52262.24041986732,52457.61328125,18625025,0.0,0.0
2025-01-16,52946.05183874309,53727.54337879834,52848.365396236186,53043.73828125,18627298,0.0,0.0
2025-01-17,52555.29971194134,52848.359004015365,51969.1811277933,52457.61328125,18805344,0.0,0.0
2025-01-20,52359.93147237827,52652.99079032069,52066.87215443586,52164.55859375,11822531,0.0,0.0
2025-01-21,52457.61897634346,53043.73762412383,52066.87321115655,52262.24609375,13535702,0.0,0.0
2025-01-22,52164.560298687844,53141.42472375691,51871.50097116713,53043.73828125,18341991,0.0,0.0
2025-01-23,52457.61328125,52848.359004015365,52262.24041986732,52457.61328125,15588067,0.0,0.0
2025-01-24,52359.92685055866,52555.29971194134,51969.1811277933,52457.61328125,11867631,0.0,0.0
2025-01-31,50992.322429627864,51773.813961116415,50503.89022244752,51187.6953125,42186279,0.0,0.0
2025-02-03,49917.7723805147,50210.83170955882,49624.713051470586,49820.0859375,32344897,0.0,0.0
2025-02-04,50406.20306570209,52359.93186669829,50308.51662565227,51480.75390625,27214851,0.0,0.0
2025-02-05,52359.93005671078,52555.302930056714,51578.438563327036,51676.125,15974885,0.0,0.0
2025-02-06,52164.561024305556,52750.6796875,51969.18813657407,52750.6796875,16466025,0.0,0.0
2025-02-07,52652.98614263268,52946.045434706706,52359.92685055866,52457.61328125,14476866,0.0,0.0
2025-02-10,51773.812738871406,54606.71947363984,51676.12629974146,54313.66015625,27577591,0.0,0.0
2025-02-11,54215.97088195691,54997.46235412927,53727.53871184919,54411.34375,24596196,0.0,0.0
2025-02-12,53825.2261984767,54606.7176859319,53239.107582885306,54509.03125,26428596,0.0,0.0
2025-02-13,54802.090557795695,55095.1498655914,54313.6583781362,54509.03125,22448377,0.0,0.0
2025-02-14,54704.40625,55974.32996651786,54704.40625,54704.40625,23979779,0.0,0.0
2025-02-17,54802.09268973215,55192.83844866072,54411.34693080357,54704.40625,11916027,0.0,0.0
2025-02-18,54899.780838093146,55876.64526581722,54606.721509775925,55583.5859375,22131007,0.0,0.0
2025-02-19,56072.017661307495,57537.31429008731,55974.33121938884,57341.94140625,25395151,0.0,0.0
2025-02-20,57732.683961633134,57732.683961633134,56755.81959680009,57048.87890625,21589059,0.0,0.0
2025-02-21,57048.88069158076,57146.56713112113,55778.95697755584,56853.5078125,22198428,0.0,0.0
2025-02-24,55974.33203125,56365.07780459206,55876.645587914485,55974.33203125,14138471,0.0,0.0
2025-02-25,55290.529747596156,56462.76712740385,55192.843299278844,55876.6484375,14625181,0.0,0.0
2025-02-26,55681.26918617491,55778.95562334364,54802.09125165636,55290.5234375,18117091,0.0,0.0
2025-02-27,55192.83772063721,55778.956351298846,54899.778405306395,54997.46484375,14975356,0.0,0.0
2025-02-28,54118.28732798165,54411.3466456422,53239.109375,53239.109375,28036698,0.0,0.0
2025-03-04,52652.9907396789,53727.54157110092,52555.304300458716,53239.109375,18553933,0.0,0.0
2025-03-05,53825.230570023145,54118.28990162037,52750.6796875,52750.6796875,16578817,0.0,0.0
2025-03-06,52848.365396236186,53239.111166263814,52750.678953729286,53043.73828125,12258101,0.0,0.0
2025-03-07,52262.24041986732,52946.045434706706,52164.55398917598,52457.61328125,14274992,0.0,0.0
2025-03-10,52262.24041986732,53532.16401885475,52262.24041986732,52457.61328125,12921670,0.0,0.0
2025-03-11,51285.378891674445,52848.36186742071,51285.378891674445,52359.9296875,17740891,0.0,0.0
2025-03-12,52555.30463057833,54020.60122808516,52359.93175091075,53629.85546875,17973221,0.0,0.0
2025-03-13,54509.03524908592,54606.72169218464,52946.0521595064,53434.484375,24132151,0.0,0.0
2025-03-14,53239.111488802555,53825.230147394876,53141.425045703836,53434.484375,10845154,0.0,0.0
2025-03-17,54215.97157796224,56462.75958930122,54118.28514268663,56267.38671875,35559021,0.0,0.0
2025-03-18,57439.6239420573,57634.99681260851,55974.32741292318,56267.38671875,28138594,0.0,0.0
2025-03-19,56072.0155849359,57830.37147435897,56072.0155849359,57146.56640625,29421759,0.0,0.0
2025-03-20,57830.37385797342,58904.92472357766,57146.56876167982,58807.23828125,34989004,0.0,0.0
2025-03-21,59491.0436145158,60272.53515625,59002.61140093193,60272.53515625,40155612,0.0,0.0
2025-03-24,59784.09801136363,60174.84375,59100.29296875,59100.29296875,14088094,0.0,0.0
2025-03-25,59491.04304713629,59686.41593070653,58123.432862144655,58416.4921875,17259455,0.0,0.0
2025-03-26,58416.49345989414,59979.4765625,58318.80701598127,59979.4765625,16431645,0.0,0.0
2025-03-27,59491.04080703884,60565.591626213594,59393.354368932036,60370.21875,20389790,0.0,0.0
2025-03-28,59647.96303337832,60041.03033508098,58960.09525539867,59156.62890625,16282514,365.0,0.0
2025-03-31,58468.758616727944,58665.29225913711,56798.22265625,56798.22265625,17633494,0.0,0.0
